"Statistic Label","Daily","Daily and Seven Day Rolling Totals","UNIT","VALUE"
"Debit Card Transactions - Total","2020 March 01","Daily total","Number","3259740"
"Debit Card Transactions - Total","2020 March 01","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 02","Daily total","Number","3245856"
"Debit Card Transactions - Total","2020 March 02","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 03","Daily total","Number","3392281"
"Debit Card Transactions - Total","2020 March 03","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 04","Daily total","Number","3419662"
"Debit Card Transactions - Total","2020 March 04","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 05","Daily total","Number","3860407"
"Debit Card Transactions - Total","2020 March 05","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 06","Daily total","Number","4401660"
"Debit Card Transactions - Total","2020 March 06","Seven day rolling total","Number",""
"Debit Card Transactions - Total","2020 March 07","Daily total","Number","4016649"
"Debit Card Transactions - Total","2020 March 07","Seven day rolling total","Number","25596256"
"Debit Card Transactions - Total","2020 March 08","Daily total","Number","3072928"
"Debit Card Transactions - Total","2020 March 08","Seven day rolling total","Number","25409444"
"Debit Card Transactions - Total","2020 March 09","Daily total","Number","3149519"
"Debit Card Transactions - Total","2020 March 09","Seven day rolling total","Number","25313107"
"Debit Card Transactions - Total","2020 March 10","Daily total","Number","3403546"
"Debit Card Transactions - Total","2020 March 10","Seven day rolling total","Number","25324372"
"Debit Card Transactions - Total","2020 March 11","Daily total","Number","3395214"
"Debit Card Transactions - Total","2020 March 11","Seven day rolling total","Number","25299924"
"Debit Card Transactions - Total","2020 March 12","Daily total","Number","4306187"
"Debit Card Transactions - Total","2020 March 12","Seven day rolling total","Number","25745704"
"Debit Card Transactions - Total","2020 March 13","Daily total","Number","4182647"
"Debit Card Transactions - Total","2020 March 13","Seven day rolling total","Number","25526691"
"Debit Card Transactions - Total","2020 March 14","Daily total","Number","3485386"
"Debit Card Transactions - Total","2020 March 14","Seven day rolling total","Number","24995427"
"Debit Card Transactions - Total","2020 March 15","Daily total","Number","2618653"
"Debit Card Transactions - Total","2020 March 15","Seven day rolling total","Number","24541152"
"Debit Card Transactions - Total","2020 March 16","Daily total","Number","3023871"
"Debit Card Transactions - Total","2020 March 16","Seven day rolling total","Number","24415503"
"Debit Card Transactions - Total","2020 March 17","Daily total","Number","1900589"
"Debit Card Transactions - Total","2020 March 17","Seven day rolling total","Number","22912546"
"Debit Card Transactions - Total","2020 March 18","Daily total","Number","2569826"
"Debit Card Transactions - Total","2020 March 18","Seven day rolling total","Number","22087158"
"Debit Card Transactions - Total","2020 March 19","Daily total","Number","2845019"
"Debit Card Transactions - Total","2020 March 19","Seven day rolling total","Number","20625990"
"Debit Card Transactions - Total","2020 March 20","Daily total","Number","3157636"
"Debit Card Transactions - Total","2020 March 20","Seven day rolling total","Number","19600979"
"Debit Card Transactions - Total","2020 March 21","Daily total","Number","2999882"
"Debit Card Transactions - Total","2020 March 21","Seven day rolling total","Number","19115476"
"Debit Card Transactions - Total","2020 March 22","Daily total","Number","2114836"
"Debit Card Transactions - Total","2020 March 22","Seven day rolling total","Number","18611659"
"Debit Card Transactions - Total","2020 March 23","Daily total","Number","2357289"
"Debit Card Transactions - Total","2020 March 23","Seven day rolling total","Number","17945078"
"Debit Card Transactions - Total","2020 March 24","Daily total","Number","2503606"
"Debit Card Transactions - Total","2020 March 24","Seven day rolling total","Number","18548095"
"Debit Card Transactions - Total","2020 March 25","Daily total","Number","2429213"
"Debit Card Transactions - Total","2020 March 25","Seven day rolling total","Number","18407482"
"Debit Card Transactions - Total","2020 March 26","Daily total","Number","2663348"
"Debit Card Transactions - Total","2020 March 26","Seven day rolling total","Number","18225811"
"Debit Card Transactions - Total","2020 March 27","Daily total","Number","3076632"
"Debit Card Transactions - Total","2020 March 27","Seven day rolling total","Number","18144807"
"Debit Card Transactions - Total","2020 March 28","Daily total","Number","2390651"
"Debit Card Transactions - Total","2020 March 28","Seven day rolling total","Number","17535576"
"Debit Card Transactions - Total","2020 March 29","Daily total","Number","1624134"
"Debit Card Transactions - Total","2020 March 29","Seven day rolling total","Number","17044874"
"Debit Card Transactions - Total","2020 March 30","Daily total","Number","1969495"
"Debit Card Transactions - Total","2020 March 30","Seven day rolling total","Number","16657080"
"Debit Card Transactions - Total","2020 March 31","Daily total","Number","2168584"
"Debit Card Transactions - Total","2020 March 31","Seven day rolling total","Number","16322058"
"Debit Card Transactions - Total","2020 April 01","Daily total","Number","2256317"
"Debit Card Transactions - Total","2020 April 01","Seven day rolling total","Number","16149162"
"Debit Card Transactions - Total","2020 April 02","Daily total","Number","2452613"
"Debit Card Transactions - Total","2020 April 02","Seven day rolling total","Number","15938427"
"Debit Card Transactions - Total","2020 April 03","Daily total","Number","2667815"
"Debit Card Transactions - Total","2020 April 03","Seven day rolling total","Number","15529610"
"Debit Card Transactions - Total","2020 April 04","Daily total","Number","2404419"
"Debit Card Transactions - Total","2020 April 04","Seven day rolling total","Number","15543378"
"Debit Card Transactions - Total","2020 April 05","Daily total","Number","1769638"
"Debit Card Transactions - Total","2020 April 05","Seven day rolling total","Number","15688881"
"Debit Card Transactions - Total","2020 April 06","Daily total","Number","2147326"
"Debit Card Transactions - Total","2020 April 06","Seven day rolling total","Number","15866712"
"Debit Card Transactions - Total","2020 April 07","Daily total","Number","2502665"
"Debit Card Transactions - Total","2020 April 07","Seven day rolling total","Number","16200793"
"Debit Card Transactions - Total","2020 April 08","Daily total","Number","2517603"
"Debit Card Transactions - Total","2020 April 08","Seven day rolling total","Number","16462079"
"Debit Card Transactions - Total","2020 April 09","Daily total","Number","2851959"
"Debit Card Transactions - Total","2020 April 09","Seven day rolling total","Number","16861425"
"Debit Card Transactions - Total","2020 April 10","Daily total","Number","2784304"
"Debit Card Transactions - Total","2020 April 10","Seven day rolling total","Number","16977914"
"Debit Card Transactions - Total","2020 April 11","Daily total","Number","2651625"
"Debit Card Transactions - Total","2020 April 11","Seven day rolling total","Number","17225121"
"Debit Card Transactions - Total","2020 April 12","Daily total","Number","1478221"
"Debit Card Transactions - Total","2020 April 12","Seven day rolling total","Number","16933704"
"Debit Card Transactions - Total","2020 April 13","Daily total","Number","1820299"
"Debit Card Transactions - Total","2020 April 13","Seven day rolling total","Number","16606678"
"Debit Card Transactions - Total","2020 April 14","Daily total","Number","2462700"
"Debit Card Transactions - Total","2020 April 14","Seven day rolling total","Number","16566713"
"Debit Card Transactions - Total","2020 April 15","Daily total","Number","2466974"
"Debit Card Transactions - Total","2020 April 15","Seven day rolling total","Number","16516084"
"Debit Card Transactions - Total","2020 April 16","Daily total","Number","2694038"
"Debit Card Transactions - Total","2020 April 16","Seven day rolling total","Number","16358163"
"Debit Card Transactions - Total","2020 April 17","Daily total","Number","2876456"
"Debit Card Transactions - Total","2020 April 17","Seven day rolling total","Number","16450315"
"Debit Card Transactions - Total","2020 April 18","Daily total","Number","2566192"
"Debit Card Transactions - Total","2020 April 18","Seven day rolling total","Number","16364881"
"Debit Card Transactions - Total","2020 April 19","Daily total","Number","1885329"
"Debit Card Transactions - Total","2020 April 19","Seven day rolling total","Number","16771989"
"Debit Card Transactions - Total","2020 April 20","Daily total","Number","2281001"
"Debit Card Transactions - Total","2020 April 20","Seven day rolling total","Number","17232690"
"Debit Card Transactions - Total","2020 April 21","Daily total","Number","2565251"
"Debit Card Transactions - Total","2020 April 21","Seven day rolling total","Number","17335241"
"Debit Card Transactions - Total","2020 April 22","Daily total","Number","2546671"
"Debit Card Transactions - Total","2020 April 22","Seven day rolling total","Number","17414938"
"Debit Card Transactions - Total","2020 April 23","Daily total","Number","2805948"
"Debit Card Transactions - Total","2020 April 23","Seven day rolling total","Number","17526848"
"Debit Card Transactions - Total","2020 April 24","Daily total","Number","3102978"
"Debit Card Transactions - Total","2020 April 24","Seven day rolling total","Number","17753370"
"Debit Card Transactions - Total","2020 April 25","Daily total","Number","2760954"
"Debit Card Transactions - Total","2020 April 25","Seven day rolling total","Number","17948132"
"Debit Card Transactions - Total","2020 April 26","Daily total","Number","1995283"
"Debit Card Transactions - Total","2020 April 26","Seven day rolling total","Number","18058086"
"Debit Card Transactions - Total","2020 April 27","Daily total","Number","2419662"
"Debit Card Transactions - Total","2020 April 27","Seven day rolling total","Number","18196747"
"Debit Card Transactions - Total","2020 April 28","Daily total","Number","2682157"
"Debit Card Transactions - Total","2020 April 28","Seven day rolling total","Number","18313653"
"Debit Card Transactions - Total","2020 April 29","Daily total","Number","2586985"
"Debit Card Transactions - Total","2020 April 29","Seven day rolling total","Number","18353967"
"Debit Card Transactions - Total","2020 April 30","Daily total","Number","3096494"
"Debit Card Transactions - Total","2020 April 30","Seven day rolling total","Number","18644513"
"Debit Card Transactions - Total","2020 May 01","Daily total","Number","3290024"
"Debit Card Transactions - Total","2020 May 01","Seven day rolling total","Number","18831559"
"Debit Card Transactions - Total","2020 May 02","Daily total","Number","2863211"
"Debit Card Transactions - Total","2020 May 02","Seven day rolling total","Number","18933816"
"Debit Card Transactions - Total","2020 May 03","Daily total","Number","2148324"
"Debit Card Transactions - Total","2020 May 03","Seven day rolling total","Number","19086856"
"Debit Card Transactions - Total","2020 May 04","Daily total","Number","2145400"
"Debit Card Transactions - Total","2020 May 04","Seven day rolling total","Number","18812594"
"Debit Card Transactions - Total","2020 May 05","Daily total","Number","2925231"
"Debit Card Transactions - Total","2020 May 05","Seven day rolling total","Number","19055667"
"Debit Card Transactions - Total","2020 May 06","Daily total","Number","2841843"
"Debit Card Transactions - Total","2020 May 06","Seven day rolling total","Number","19310525"
"Debit Card Transactions - Total","2020 May 07","Daily total","Number","2976606"
"Debit Card Transactions - Total","2020 May 07","Seven day rolling total","Number","19190637"
"Debit Card Transactions - Total","2020 May 08","Daily total","Number","3302964"
"Debit Card Transactions - Total","2020 May 08","Seven day rolling total","Number","19203577"
"Debit Card Transactions - Total","2020 May 09","Daily total","Number","2946637"
"Debit Card Transactions - Total","2020 May 09","Seven day rolling total","Number","19287004"
"Debit Card Transactions - Total","2020 May 10","Daily total","Number","2160284"
"Debit Card Transactions - Total","2020 May 10","Seven day rolling total","Number","19298964"
"Debit Card Transactions - Total","2020 May 11","Daily total","Number","2535099"
"Debit Card Transactions - Total","2020 May 11","Seven day rolling total","Number","19688664"
"Debit Card Transactions - Total","2020 May 12","Daily total","Number","2861382"
"Debit Card Transactions - Total","2020 May 12","Seven day rolling total","Number","19624815"
"Debit Card Transactions - Total","2020 May 13","Daily total","Number","2760193"
"Debit Card Transactions - Total","2020 May 13","Seven day rolling total","Number","19543165"
"Debit Card Transactions - Total","2020 May 14","Daily total","Number","3051941"
"Debit Card Transactions - Total","2020 May 14","Seven day rolling total","Number","19618500"
"Debit Card Transactions - Total","2020 May 15","Daily total","Number","3315619"
"Debit Card Transactions - Total","2020 May 15","Seven day rolling total","Number","19631155"
"Debit Card Transactions - Total","2020 May 16","Daily total","Number","2951202"
"Debit Card Transactions - Total","2020 May 16","Seven day rolling total","Number","19635720"
"Debit Card Transactions - Total","2020 May 17","Daily total","Number","2245007"
"Debit Card Transactions - Total","2020 May 17","Seven day rolling total","Number","19720443"
"Debit Card Transactions - Total","2020 May 18","Daily total","Number","2717819"
"Debit Card Transactions - Total","2020 May 18","Seven day rolling total","Number","19903163"
"Debit Card Transactions - Total","2020 May 19","Daily total","Number","2974681"
"Debit Card Transactions - Total","2020 May 19","Seven day rolling total","Number","20016462"
"Debit Card Transactions - Total","2020 May 20","Daily total","Number","3001838"
"Debit Card Transactions - Total","2020 May 20","Seven day rolling total","Number","20258107"
"Debit Card Transactions - Total","2020 May 21","Daily total","Number","3237144"
"Debit Card Transactions - Total","2020 May 21","Seven day rolling total","Number","20443310"
"Debit Card Transactions - Total","2020 May 22","Daily total","Number","3492066"
"Debit Card Transactions - Total","2020 May 22","Seven day rolling total","Number","20619757"
"Debit Card Transactions - Total","2020 May 23","Daily total","Number","3221633"
"Debit Card Transactions - Total","2020 May 23","Seven day rolling total","Number","20890188"
"Debit Card Transactions - Total","2020 May 24","Daily total","Number","2399402"
"Debit Card Transactions - Total","2020 May 24","Seven day rolling total","Number","21044583"
"Debit Card Transactions - Total","2020 May 25","Daily total","Number","2824556"
"Debit Card Transactions - Total","2020 May 25","Seven day rolling total","Number","21151320"
"Debit Card Transactions - Total","2020 May 26","Daily total","Number","3088678"
"Debit Card Transactions - Total","2020 May 26","Seven day rolling total","Number","21265317"
"Debit Card Transactions - Total","2020 May 27","Daily total","Number","3122246"
"Debit Card Transactions - Total","2020 May 27","Seven day rolling total","Number","21385725"
"Debit Card Transactions - Total","2020 May 28","Daily total","Number","3552384"
"Debit Card Transactions - Total","2020 May 28","Seven day rolling total","Number","21700965"
"Debit Card Transactions - Total","2020 May 29","Daily total","Number","3900990"
"Debit Card Transactions - Total","2020 May 29","Seven day rolling total","Number","22109889"
"Debit Card Transactions - Total","2020 May 30","Daily total","Number","3481347"
"Debit Card Transactions - Total","2020 May 30","Seven day rolling total","Number","22369603"
"Debit Card Transactions - Total","2020 May 31","Daily total","Number","2571467"
"Debit Card Transactions - Total","2020 May 31","Seven day rolling total","Number","22541667"
"Debit Card Transactions - Total","2020 June 01","Daily total","Number","2747314"
"Debit Card Transactions - Total","2020 June 01","Seven day rolling total","Number","22464425"
"Debit Card Transactions - Total","2020 June 02","Daily total","Number","3446942"
"Debit Card Transactions - Total","2020 June 02","Seven day rolling total","Number","22822688"
"Debit Card Transactions - Total","2020 June 03","Daily total","Number","3249340"
"Debit Card Transactions - Total","2020 June 03","Seven day rolling total","Number","22949782"
"Debit Card Transactions - Total","2020 June 04","Daily total","Number","3453979"
"Debit Card Transactions - Total","2020 June 04","Seven day rolling total","Number","22851377"
"Debit Card Transactions - Total","2020 June 05","Daily total","Number","3742494"
"Debit Card Transactions - Total","2020 June 05","Seven day rolling total","Number","22692881"
"Debit Card Transactions - Total","2020 June 06","Daily total","Number","3337708"
"Debit Card Transactions - Total","2020 June 06","Seven day rolling total","Number","22549243"
"Debit Card Transactions - Total","2020 June 07","Daily total","Number","2526407"
"Debit Card Transactions - Total","2020 June 07","Seven day rolling total","Number","22504184"
"Debit Card Transactions - Total","2020 June 08","Daily total","Number","3036713"
"Debit Card Transactions - Total","2020 June 08","Seven day rolling total","Number","22793584"
"Debit Card Transactions - Total","2020 June 09","Daily total","Number","3259937"
"Debit Card Transactions - Total","2020 June 09","Seven day rolling total","Number","22606579"
"Debit Card Transactions - Total","2020 June 10","Daily total","Number","3307161"
"Debit Card Transactions - Total","2020 June 10","Seven day rolling total","Number","22664400"
"Debit Card Transactions - Total","2020 June 11","Daily total","Number","3549941"
"Debit Card Transactions - Total","2020 June 11","Seven day rolling total","Number","22760362"
"Debit Card Transactions - Total","2020 June 12","Daily total","Number","3896491"
"Debit Card Transactions - Total","2020 June 12","Seven day rolling total","Number","22914359"
"Debit Card Transactions - Total","2020 June 13","Daily total","Number","3627229"
"Debit Card Transactions - Total","2020 June 13","Seven day rolling total","Number","23203880"
"Debit Card Transactions - Total","2020 June 14","Daily total","Number","2702527"
"Debit Card Transactions - Total","2020 June 14","Seven day rolling total","Number","23380000"
"Debit Card Transactions - Total","2020 June 15","Daily total","Number","3167153"
"Debit Card Transactions - Total","2020 June 15","Seven day rolling total","Number","23510440"
"Debit Card Transactions - Total","2020 June 16","Daily total","Number","3407275"
"Debit Card Transactions - Total","2020 June 16","Seven day rolling total","Number","23657778"
"Debit Card Transactions - Total","2020 June 17","Daily total","Number","3498513"
"Debit Card Transactions - Total","2020 June 17","Seven day rolling total","Number","23849130"
"Debit Card Transactions - Total","2020 June 18","Daily total","Number","3771707"
"Debit Card Transactions - Total","2020 June 18","Seven day rolling total","Number","24070896"
