,name,date,platform,publisher,developer,shipped,total,america,europe,japan,other,vgc,critic,user,percent
29,Wii Sports,2006-11-19,Wii,Nintendo,Nintendo EAD,82.9,82.9,,,,,,7.7,,77
52,Mario Kart 8 Deluxe,2017-04-28,NS,Nintendo,Nintendo EPD,57.01,57.01,,,,,,9.3,,93
79,Super Mario Bros.,1985-10-18,NES,Nintendo,Nintendo EAD,40.24,40.24,,,,,,10.0,8.2,100
85,Mario Kart Wii,2008-04-27,Wii,Nintendo,Nintendo EAD,37.38,37.38,,,,,8.7,8.2,9.1,82
96,Minecraft,2010-05-10,PC,Mojang,Mojang AB,33.15,33.15,,,,,8.8,10.0,,100
97,Wii Sports Resort,2009-07-26,Wii,Nintendo,Nintendo EAD,33.14,33.14,,,,,8.8,8.0,8.8,80
102,Super Smash Bros. Ultimate,2018-12-07,NS,Nintendo,Bandai Namco Games,32.44,32.44,,,,,9.0,9.4,9.7,94
104,Pokémon Red / Green / Blue Version,1998-09-30,GB,Nintendo,Game Freak,31.38,31.38,,,,,,9.4,,94
105,The Legend of Zelda: Breath of the Wild,2017-03-03,NS,Nintendo,Nintendo EPD,31.15,31.15,,,,,,9.9,10.0,99
107,Call of Duty: Black Ops II,2012-11-13,All,Activision,Treyarch,31.0,31.0,,,,,,8.5,,85
111,New Super Mario Bros.,2006-05-15,DS,Nintendo,Nintendo EAD,30.8,30.8,,,,,,9.1,8.1,91
112,New Super Mario Bros. Wii,2009-11-15,Wii,Nintendo,Nintendo EAD,30.32,30.32,,,,,9.1,8.6,9.2,86
113,Call of Duty: Black Ops,2010-11-09,All,Activision,Treyarch,30.0,30.0,,,,,,8.3,,83
127,Wii Play,2007-02-12,Wii,Nintendo,Nintendo EAD,28.02,28.02,,,,,5.3,5.9,4.5,59
133,Super Mario Odyssey,2017-10-27,NS,Nintendo,Nintendo EPD,26.95,26.95,,,,,,9.9,,99
146,Kinect Adventures!,2010-11-04,X360,Microsoft Game Studios,Good Science Studio,24.0,24.0,,,,,6.2,6.7,,67
148,Nintendogs,2005-08-23,DS,Nintendo,Nintendo EAD,23.96,23.96,,,,,,8.4,,84
150,Mario Kart DS,2005-11-14,DS,Nintendo,Nintendo EAD,23.6,23.6,,,,,,9.1,9.4,91
154,Pokémon Gold / Silver Version,2000-10-14,GB,Nintendo,Game Freak,23.1,23.1,,,,,,9.2,,92
155,Terraria,2011-05-16,PC,Re-Logic,Re-Logic,23.0,23.0,,,,,,8.8,,88
157,Marvel's Spider-Man,2018-09-07,PS4,Sony Interactive Entertainment,Insomniac Games,22.69,22.69,,,,,8.0,9.1,,91
158,Wii Fit,2008-05-21,Wii,Nintendo,Nintendo EAD,22.67,22.67,,,,,8.0,7.9,,79
168,Wii Fit Plus,2009-10-04,Wii,Nintendo,Nintendo EAD,21.13,21.13,,,,,,8.0,,80
169,God of War (2018),2018-04-20,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,21.02,21.02,,,,,9.0,9.7,10.0,97
173,Super Mario World,1991-08-13,SNES,Nintendo,Nintendo EAD,20.61,20.61,,,,,,8.5,,85
176,Grand Theft Auto V,2013-09-17,PS3,Rockstar Games,Rockstar North,,20.32,6.37,9.85,0.99,3.12,9.5,9.4,,94
194,Super Mario Party,2018-10-05,NS,Nintendo,"Nd Cube Co., Ltd.",19.66,19.66,,,,,7.0,7.3,,73
196,Grand Theft Auto V,2014-11-18,PS4,Rockstar Games,Rockstar North,,19.39,6.06,9.71,0.6,3.02,,9.7,,97
197,Horizon: Zero Dawn,2017-02-28,PS4,Sony Interactive Entertainment,Guerrilla Games,19.3,19.3,,,,,,9.1,8.0,91
199,Brain Age: Train Your Brain in Minutes a Day,2006-04-17,DS,Nintendo,Nintendo SDD,19.01,19.01,,,,,,8.1,,81
204,Mario Kart 7,2011-12-04,3DS,Nintendo,Nintendo EAD / Retro Studios,18.98,18.98,,,,,9.0,8.2,,82
205,Uncharted 4: A Thief's End,2016-05-10,PS4,Sony Interactive Entertainment,Naughty Dog,18.65,18.65,,,,,,9.2,,92
206,The Last of Us Remastered,2014-07-29,PS4,Sony Computer Entertainment,Naughty Dog,18.63,18.63,,,,,,9.5,,95
214,Pokémon Diamond / Pearl Version,2007-04-28,DS,Nintendo,Game Freak,17.67,17.67,,,,,,8.6,,86
216,Grand Theft Auto: San Andreas,2004-10-26,PS2,Rockstar Games,Rockstar North,17.3,17.3,,,,,,9.5,,95
227,Pokémon X/Y,2013-10-12,3DS,Nintendo,Game Freak,16.72,16.72,,,,,8.7,8.9,9.3,89
231,Pokémon Sun/Moon,2016-11-18,3DS,Nintendo,Game Freak,16.32,16.32,,,,,,9.0,,90
232,Pokémon Ruby / Sapphire Version,2003-03-17,GBA,Nintendo,Game Freak,16.22,16.22,,,,,,8.8,,88
233,Grand Theft Auto: Vice City,2002-10-28,PS2,Rockstar Games,Rockstar North,,16.15,8.41,5.49,0.47,1.78,,9.6,,96
243,Pokémon Black / White Version,2011-03-06,DS,Nintendo,Game Freak,15.64,15.64,,,,,8.9,8.6,9.0,86
250,Counter-Strike: Source,2004-11-16,PC,VU Games,Valve Software,15.0,15.0,,,,,,9.3,,93
266,Gran Turismo 3: A-Spec,2001-07-09,PS2,Sony Computer Entertainment,Polyphony Digital,14.89,14.89,,,,,,9.3,,93
267,Brain Age 2: More Training in Minutes a Day,2007-08-20,DS,Nintendo,Nintendo SDD,14.88,14.88,,,,,,8.0,,80
269,Call of Duty: Modern Warfare 3,2011-11-08,X360,Activision,Infinity Ward,,14.82,9.07,4.29,0.13,1.33,,8.7,,87
270,Call of Duty: Black Ops,2010-11-09,X360,Activision,Treyarch,,14.74,9.76,3.73,0.11,1.14,,8.8,,88
272,Pokémon Yellow: Special Pikachu Edition,1999-10-19,GB,Nintendo,Game Freak,14.64,14.64,,,,,,8.7,,87
276,Halo 3,2007-09-25,X360,Microsoft Game Studios,Bungie Studios,14.5,14.5,,,,,8.8,9.6,9.5,96
288,Red Dead Redemption 2,2018-10-26,PS4,Rockstar Games,Rockstar Games,,13.94,5.26,6.21,0.21,2.26,8.0,9.8,,98
292,Splatoon 2,2017-07-21,NS,Nintendo,Nintendo EPD,13.6,13.6,,,,,,8.2,,82
293,Call of Duty: Modern Warfare 2,2009-11-10,X360,Activision,Infinity Ward,,13.53,8.54,3.63,0.08,1.28,9.0,9.5,9.0,95
296,New Super Mario Bros. 2,2012-08-19,3DS,Nintendo,Nintendo,13.42,13.42,,,,,7.6,7.5,,75
297,Call of Duty: WWII,2017-11-03,PS4,Activision,Sledgehammer Games,,13.4,4.67,6.21,0.4,2.12,,8.0,,80
298,Call of Duty: Modern Warfare 3,2011-11-08,PS3,Activision,Infinity Ward,,13.35,5.54,5.78,0.49,1.54,8.6,8.8,,88
299,Super Smash Bros. Brawl,2008-03-09,Wii,Nintendo,Project Sora,13.32,13.32,,,,,9.2,9.2,9.7,92
301,Grand Theft Auto III,2001-10-23,PS2,Rockstar Games,DMA Design,,13.1,6.99,4.51,0.3,1.3,,9.5,,95
303,Portal 2,2011-04-19,PC,Valve,Valve Software,13.06,13.06,,,,,,9.7,,97
304,Animal Crossing: New Leaf,2013-06-09,3DS,Nintendo,Nintendo EAD,13.05,13.05,,,,,9.0,8.6,,86
309,Stardew Valley,2016-02-26,PC,Chucklefish,ConcernedApe,13.0,13.0,,,,,,9.2,,92
311,Super Mario 3D Land,2011-11-13,3DS,Nintendo,Nintendo EAD Tokyo,12.88,12.88,,,,,9.1,8.9,,89
