,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,Year
0,Precipitation Amount,January,Malin Head,Millimetres,113.0,1960
1,Precipitation Amount,January,Claremorris,Millimetres,113.9,1960
2,Precipitation Amount,January,Valentia Observatory,Millimetres,164.4,1960
3,Precipitation Amount,January,Belmullet,Millimetres,101.0,1960
4,Precipitation Amount,January,Shannon Airport,Millimetres,83.1,1960
5,Precipitation Amount,January,Dublin Airport,Millimetres,87.4,1960
6,Precipitation Amount,January,Mullingar,Millimetres,96.5,1960
7,Precipitation Amount,January,Cork Airport,Millimetres,,1960
8,Precipitation Amount,January,Casement,Millimetres,,1960
9,Precipitation Amount,January,Phoenix Park,Millimetres,,1960
10,Precipitation Amount,January,Roches Point,Millimetres,,1960
11,Precipitation Amount,January,Markree,Millimetres,,1960
12,Precipitation Amount,February,Malin Head,Millimetres,102.9,1960
13,Precipitation Amount,February,Claremorris,Millimetres,89.2,1960
14,Precipitation Amount,February,Valentia Observatory,Millimetres,135.2,1960
15,Precipitation Amount,February,Belmullet,Millimetres,91.6,1960
16,Precipitation Amount,February,Shannon Airport,Millimetres,47.2,1960
17,Precipitation Amount,February,Dublin Airport,Millimetres,35.2,1960
18,Precipitation Amount,February,Mullingar,Millimetres,53.2,1960
19,Precipitation Amount,February,Cork Airport,Millimetres,,1960
20,Precipitation Amount,February,Casement,Millimetres,,1960
21,Precipitation Amount,February,Phoenix Park,Millimetres,,1960
22,Precipitation Amount,February,Roches Point,Millimetres,,1960
23,Precipitation Amount,February,Markree,Millimetres,,1960
24,Precipitation Amount,March,Malin Head,Millimetres,44.4,1960
25,Precipitation Amount,March,Claremorris,Millimetres,47.4,1960
26,Precipitation Amount,March,Valentia Observatory,Millimetres,122.9,1960
27,Precipitation Amount,March,Belmullet,Millimetres,69.0,1960
28,Precipitation Amount,March,Shannon Airport,Millimetres,44.7,1960
29,Precipitation Amount,March,Dublin Airport,Millimetres,97.2,1960
30,Precipitation Amount,March,Mullingar,Millimetres,49.3,1960
31,Precipitation Amount,March,Cork Airport,Millimetres,,1960
32,Precipitation Amount,March,Casement,Millimetres,,1960
33,Precipitation Amount,March,Phoenix Park,Millimetres,,1960
34,Precipitation Amount,March,Roches Point,Millimetres,,1960
35,Precipitation Amount,March,Markree,Millimetres,,1960
36,Precipitation Amount,April,Malin Head,Millimetres,54.1,1960
37,Precipitation Amount,April,Claremorris,Millimetres,95.6,1960
38,Precipitation Amount,April,Valentia Observatory,Millimetres,102.8,1960
39,Precipitation Amount,April,Belmullet,Millimetres,66.8,1960
40,Precipitation Amount,April,Shannon Airport,Millimetres,70.6,1960
41,Precipitation Amount,April,Dublin Airport,Millimetres,27.2,1960
42,Precipitation Amount,April,Mullingar,Millimetres,72.6,1960
43,Precipitation Amount,April,Cork Airport,Millimetres,,1960
44,Precipitation Amount,April,Casement,Millimetres,,1960
45,Precipitation Amount,April,Phoenix Park,Millimetres,,1960
46,Precipitation Amount,April,Roches Point,Millimetres,,1960
47,Precipitation Amount,April,Markree,Millimetres,,1960
48,Precipitation Amount,May,Malin Head,Millimetres,59.8,1960
49,Precipitation Amount,May,Claremorris,Millimetres,54.4,1960
50,Precipitation Amount,May,Valentia Observatory,Millimetres,84.5,1960
51,Precipitation Amount,May,Belmullet,Millimetres,56.1,1960
52,Precipitation Amount,May,Shannon Airport,Millimetres,109.4,1960
53,Precipitation Amount,May,Dublin Airport,Millimetres,52.4,1960
54,Precipitation Amount,May,Mullingar,Millimetres,69.4,1960
55,Precipitation Amount,May,Cork Airport,Millimetres,,1960
56,Precipitation Amount,May,Casement,Millimetres,,1960
57,Precipitation Amount,May,Phoenix Park,Millimetres,,1960
58,Precipitation Amount,May,Roches Point,Millimetres,,1960
59,Precipitation Amount,May,Markree,Millimetres,,1960
60,Precipitation Amount,June,Malin Head,Millimetres,79.4,1960
61,Precipitation Amount,June,Claremorris,Millimetres,114.3,1960
62,Precipitation Amount,June,Valentia Observatory,Millimetres,68.6,1960
63,Precipitation Amount,June,Belmullet,Millimetres,89.5,1960
64,Precipitation Amount,June,Shannon Airport,Millimetres,80.2,1960
65,Precipitation Amount,June,Dublin Airport,Millimetres,51.1,1960
66,Precipitation Amount,June,Mullingar,Millimetres,92.1,1960
67,Precipitation Amount,June,Cork Airport,Millimetres,,1960
68,Precipitation Amount,June,Casement,Millimetres,,1960
69,Precipitation Amount,June,Phoenix Park,Millimetres,,1960
70,Precipitation Amount,June,Roches Point,Millimetres,,1960
71,Precipitation Amount,June,Markree,Millimetres,,1960
72,Precipitation Amount,July,Malin Head,Millimetres,129.5,1960
73,Precipitation Amount,July,Claremorris,Millimetres,127.3,1960
74,Precipitation Amount,July,Valentia Observatory,Millimetres,174.5,1960
75,Precipitation Amount,July,Belmullet,Millimetres,112.9,1960
76,Precipitation Amount,July,Shannon Airport,Millimetres,121.0,1960
77,Precipitation Amount,July,Dublin Airport,Millimetres,139.8,1960
78,Precipitation Amount,July,Mullingar,Millimetres,157.5,1960
79,Precipitation Amount,July,Cork Airport,Millimetres,,1960
80,Precipitation Amount,July,Casement,Millimetres,,1960
81,Precipitation Amount,July,Phoenix Park,Millimetres,,1960
82,Precipitation Amount,July,Roches Point,Millimetres,,1960
83,Precipitation Amount,July,Markree,Millimetres,,1960
84,Precipitation Amount,August,Malin Head,Millimetres,103.4,1960
85,Precipitation Amount,August,Claremorris,Millimetres,113.2,1960
86,Precipitation Amount,August,Valentia Observatory,Millimetres,60.0,1960
87,Precipitation Amount,August,Belmullet,Millimetres,84.3,1960
88,Precipitation Amount,August,Shannon Airport,Millimetres,82.9,1960
89,Precipitation Amount,August,Dublin Airport,Millimetres,86.3,1960
90,Precipitation Amount,August,Mullingar,Millimetres,95.6,1960
91,Precipitation Amount,August,Cork Airport,Millimetres,,1960
92,Precipitation Amount,August,Casement,Millimetres,,1960
93,Precipitation Amount,August,Phoenix Park,Millimetres,,1960
94,Precipitation Amount,August,Roches Point,Millimetres,,1960
95,Precipitation Amount,August,Markree,Millimetres,,1960
96,Precipitation Amount,September,Malin Head,Millimetres,64.1,1960
97,Precipitation Amount,September,Claremorris,Millimetres,86.6,1960
98,Precipitation Amount,September,Valentia Observatory,Millimetres,162.9,1960
99,Precipitation Amount,September,Belmullet,Millimetres,105.2,1960
100,Precipitation Amount,September,Shannon Airport,Millimetres,106.5,1960
101,Precipitation Amount,September,Dublin Airport,Millimetres,81.2,1960
102,Precipitation Amount,September,Mullingar,Millimetres,102.8,1960
103,Precipitation Amount,September,Cork Airport,Millimetres,,1960
104,Precipitation Amount,September,Casement,Millimetres,,1960
105,Precipitation Amount,September,Phoenix Park,Millimetres,,1960
106,Precipitation Amount,September,Roches Point,Millimetres,,1960
107,Precipitation Amount,September,Markree,Millimetres,,1960
108,Precipitation Amount,October,Malin Head,Millimetres,67.4,1960
109,Precipitation Amount,October,Claremorris,Millimetres,59.1,1960
110,Precipitation Amount,October,Valentia Observatory,Millimetres,109.4,1960
111,Precipitation Amount,October,Belmullet,Millimetres,64.3,1960
112,Precipitation Amount,October,Shannon Airport,Millimetres,72.6,1960
113,Precipitation Amount,October,Dublin Airport,Millimetres,161.3,1960
114,Precipitation Amount,October,Mullingar,Millimetres,103.1,1960
115,Precipitation Amount,October,Cork Airport,Millimetres,,1960
116,Precipitation Amount,October,Casement,Millimetres,,1960
117,Precipitation Amount,October,Phoenix Park,Millimetres,,1960
118,Precipitation Amount,October,Roches Point,Millimetres,,1960
119,Precipitation Amount,October,Markree,Millimetres,,1960
120,Precipitation Amount,November,Malin Head,Millimetres,85.8,1960
121,Precipitation Amount,November,Claremorris,Millimetres,210.8,1960
122,Precipitation Amount,November,Valentia Observatory,Millimetres,283.6,1960
123,Precipitation Amount,November,Belmullet,Millimetres,158.3,1960
124,Precipitation Amount,November,Shannon Airport,Millimetres,182.0,1960
125,Precipitation Amount,November,Dublin Airport,Millimetres,117.7,1960
126,Precipitation Amount,November,Mullingar,Millimetres,161.8,1960
127,Precipitation Amount,November,Cork Airport,Millimetres,,1960
128,Precipitation Amount,November,Casement,Millimetres,,1960
129,Precipitation Amount,November,Phoenix Park,Millimetres,,1960
130,Precipitation Amount,November,Roches Point,Millimetres,,1960
131,Precipitation Amount,November,Markree,Millimetres,,1960
132,Precipitation Amount,December,Malin Head,Millimetres,148.3,1960
133,Precipitation Amount,December,Claremorris,Millimetres,138.3,1960
134,Precipitation Amount,December,Valentia Observatory,Millimetres,221.6,1960
135,Precipitation Amount,December,Belmullet,Millimetres,150.1,1960
136,Precipitation Amount,December,Shannon Airport,Millimetres,175.1,1960
137,Precipitation Amount,December,Dublin Airport,Millimetres,95.4,1960
138,Precipitation Amount,December,Mullingar,Millimetres,102.9,1960
139,Precipitation Amount,December,Cork Airport,Millimetres,,1960
140,Precipitation Amount,December,Casement,Millimetres,,1960
141,Precipitation Amount,December,Phoenix Park,Millimetres,,1960
142,Precipitation Amount,December,Roches Point,Millimetres,,1960
143,Precipitation Amount,December,Markree,Millimetres,,1960
144,Precipitation Amount,January,Malin Head,Millimetres,100.9,1961
145,Precipitation Amount,January,Claremorris,Millimetres,168.0,1961
146,Precipitation Amount,January,Valentia Observatory,Millimetres,261.1,1961
147,Precipitation Amount,January,Belmullet,Millimetres,163.4,1961
148,Precipitation Amount,January,Shannon Airport,Millimetres,130.9,1961
149,Precipitation Amount,January,Dublin Airport,Millimetres,106.3,1961
150,Precipitation Amount,January,Mullingar,Millimetres,132.5,1961
151,Precipitation Amount,January,Cork Airport,Millimetres,,1961
152,Precipitation Amount,January,Casement,Millimetres,,1961
153,Precipitation Amount,January,Phoenix Park,Millimetres,,1961
154,Precipitation Amount,January,Roches Point,Millimetres,,1961
155,Precipitation Amount,January,Markree,Millimetres,,1961
156,Precipitation Amount,February,Malin Head,Millimetres,113.3,1961
157,Precipitation Amount,February,Claremorris,Millimetres,105.6,1961
158,Precipitation Amount,February,Valentia Observatory,Millimetres,124.2,1961
159,Precipitation Amount,February,Belmullet,Millimetres,86.5,1961
160,Precipitation Amount,February,Shannon Airport,Millimetres,97.1,1961
161,Precipitation Amount,February,Dublin Airport,Millimetres,50.8,1961
162,Precipitation Amount,February,Mullingar,Millimetres,75.8,1961
163,Precipitation Amount,February,Cork Airport,Millimetres,,1961
164,Precipitation Amount,February,Casement,Millimetres,,1961
165,Precipitation Amount,February,Phoenix Park,Millimetres,,1961
166,Precipitation Amount,February,Roches Point,Millimetres,,1961
167,Precipitation Amount,February,Markree,Millimetres,,1961
168,Precipitation Amount,March,Malin Head,Millimetres,60.4,1961
169,Precipitation Amount,March,Claremorris,Millimetres,30.4,1961
170,Precipitation Amount,March,Valentia Observatory,Millimetres,19.1,1961
171,Precipitation Amount,March,Belmullet,Millimetres,37.9,1961
172,Precipitation Amount,March,Shannon Airport,Millimetres,18.0,1961
173,Precipitation Amount,March,Dublin Airport,Millimetres,4.0,1961
174,Precipitation Amount,March,Mullingar,Millimetres,13.3,1961
175,Precipitation Amount,March,Cork Airport,Millimetres,,1961
176,Precipitation Amount,March,Casement,Millimetres,,1961
177,Precipitation Amount,March,Phoenix Park,Millimetres,,1961
178,Precipitation Amount,March,Roches Point,Millimetres,,1961
179,Precipitation Amount,March,Markree,Millimetres,,1961
180,Precipitation Amount,April,Malin Head,Millimetres,124.5,1961
181,Precipitation Amount,April,Claremorris,Millimetres,90.2,1961
182,Precipitation Amount,April,Valentia Observatory,Millimetres,147.8,1961
183,Precipitation Amount,April,Belmullet,Millimetres,91.9,1961
184,Precipitation Amount,April,Shannon Airport,Millimetres,95.9,1961
185,Precipitation Amount,April,Dublin Airport,Millimetres,90.4,1961
186,Precipitation Amount,April,Mullingar,Millimetres,109.8,1961
187,Precipitation Amount,April,Cork Airport,Millimetres,,1961
188,Precipitation Amount,April,Casement,Millimetres,,1961
189,Precipitation Amount,April,Phoenix Park,Millimetres,,1961
190,Precipitation Amount,April,Roches Point,Millimetres,,1961
191,Precipitation Amount,April,Markree,Millimetres,,1961
192,Precipitation Amount,May,Malin Head,Millimetres,47.2,1961
193,Precipitation Amount,May,Claremorris,Millimetres,57.5,1961
194,Precipitation Amount,May,Valentia Observatory,Millimetres,44.3,1961
195,Precipitation Amount,May,Belmullet,Millimetres,56.7,1961
196,Precipitation Amount,May,Shannon Airport,Millimetres,32.6,1961
197,Precipitation Amount,May,Dublin Airport,Millimetres,29.6,1961
198,Precipitation Amount,May,Mullingar,Millimetres,55.3,1961
199,Precipitation Amount,May,Cork Airport,Millimetres,,1961
200,Precipitation Amount,May,Casement,Millimetres,,1961
201,Precipitation Amount,May,Phoenix Park,Millimetres,,1961
202,Precipitation Amount,May,Roches Point,Millimetres,,1961
203,Precipitation Amount,May,Markree,Millimetres,,1961
204,Precipitation Amount,June,Malin Head,Millimetres,49.9,1961
205,Precipitation Amount,June,Claremorris,Millimetres,57.9,1961
206,Precipitation Amount,June,Valentia Observatory,Millimetres,59.4,1961
207,Precipitation Amount,June,Belmullet,Millimetres,64.5,1961
208,Precipitation Amount,June,Shannon Airport,Millimetres,42.2,1961
209,Precipitation Amount,June,Dublin Airport,Millimetres,42.4,1961
210,Precipitation Amount,June,Mullingar,Millimetres,56.9,1961
211,Precipitation Amount,June,Cork Airport,Millimetres,,1961
212,Precipitation Amount,June,Casement,Millimetres,,1961
213,Precipitation Amount,June,Phoenix Park,Millimetres,,1961
214,Precipitation Amount,June,Roches Point,Millimetres,,1961
215,Precipitation Amount,June,Markree,Millimetres,,1961
216,Precipitation Amount,July,Malin Head,Millimetres,73.3,1961
217,Precipitation Amount,July,Claremorris,Millimetres,122.7,1961
218,Precipitation Amount,July,Valentia Observatory,Millimetres,93.5,1961
219,Precipitation Amount,July,Belmullet,Millimetres,117.2,1961
220,Precipitation Amount,July,Shannon Airport,Millimetres,81.1,1961
221,Precipitation Amount,July,Dublin Airport,Millimetres,52.6,1961
222,Precipitation Amount,July,Mullingar,Millimetres,82.5,1961
223,Precipitation Amount,July,Cork Airport,Millimetres,,1961
224,Precipitation Amount,July,Casement,Millimetres,,1961
225,Precipitation Amount,July,Phoenix Park,Millimetres,,1961
226,Precipitation Amount,July,Roches Point,Millimetres,,1961
227,Precipitation Amount,July,Markree,Millimetres,,1961
228,Precipitation Amount,August,Malin Head,Millimetres,131.2,1961
229,Precipitation Amount,August,Claremorris,Millimetres,81.5,1961
230,Precipitation Amount,August,Valentia Observatory,Millimetres,47.0,1961
231,Precipitation Amount,August,Belmullet,Millimetres,96.0,1961
232,Precipitation Amount,August,Shannon Airport,Millimetres,76.5,1961
233,Precipitation Amount,August,Dublin Airport,Millimetres,47.3,1961
234,Precipitation Amount,August,Mullingar,Millimetres,74.1,1961
235,Precipitation Amount,August,Cork Airport,Millimetres,,1961
236,Precipitation Amount,August,Casement,Millimetres,,1961
237,Precipitation Amount,August,Phoenix Park,Millimetres,,1961
238,Precipitation Amount,August,Roches Point,Millimetres,,1961
239,Precipitation Amount,August,Markree,Millimetres,,1961
240,Precipitation Amount,September,Malin Head,Millimetres,92.2,1961
241,Precipitation Amount,September,Claremorris,Millimetres,148.0,1961
242,Precipitation Amount,September,Valentia Observatory,Millimetres,205.3,1961
